# q    Mrad_frac
1.000000000000000000e+00 4.841605714434123880e-02
9.908136566858671834e-01 4.841405832163502704e-02
9.817117022752194222e-01 4.840806256979163918e-02
9.726933615426174295e-01 4.839807203706954220e-02
9.637578663841088744e-01 4.838409030200608446e-02
9.549044557518083787e-01 4.836612237058261765e-02
9.461323755890769238e-01 4.834417467225805148e-02
9.374408787662996678e-01 4.831825505488069467e-02
9.288292250172499598e-01 4.828837277848151838e-02
9.202966808760415507e-01 4.825453850796052047e-02
9.118425196146573430e-01 4.821676430467263658e-02
9.034660211810531250e-01 4.817506361692835276e-02
8.951664721378302936e-01 4.812945126941783891e-02
8.869431656014710175e-01 4.807994345157538818e-02
8.787954011821320632e-01 4.802655770489962922e-02
8.707224849239918463e-01 4.796931290924433960e-02
8.627237292461452656e-01 4.790822926810079513e-02
8.547984528840411045e-01 4.784332829288942546e-02
8.469459808314586668e-01 4.777463278628132914e-02
8.391656442830158769e-01 4.770216682457402435e-02
8.314567805772066222e-01 4.762595573914012170e-02
8.238187331399606794e-01 4.754602609697940185e-02
8.162508514287230010e-01 4.746240568039297725e-02
8.087524908770454823e-01 4.737512346581155415e-02
8.013230128396888752e-01 4.728420960180031163e-02
7.939617845382281880e-01 4.718969538627376670e-02
7.866681790071583524e-01 4.709161324294455775e-02
7.794415750404948273e-01 4.698999669704022331e-02
7.722813571388644771e-01 4.688488035031610629e-02
7.651869154570823950e-01 4.677629985539823870e-02
7.581576457522112289e-01 4.666429188948484352e-02
7.511929493320966822e-01 4.654889412744282057e-02
7.442922330043760804e-01 4.643014521432960173e-02
7.374549090259552298e-01 4.630808473737672848e-02
7.306803950529502378e-01 4.618275319746530105e-02
7.239681140910876334e-01 4.605419198013265686e-02
7.173174944465615654e-01 4.592244332614058011e-02
7.107279696773418642e-01 4.578755030164302631e-02
7.041989785449291883e-01 4.564955676798703593e-02
6.977299649665537062e-01 4.550850735118231599e-02
6.913203779678129823e-01 4.536444741107473200e-02
6.849696716357445148e-01 4.521742301025938326e-02
6.786773050723298173e-01 4.506748088276850417e-02
6.724427423484249378e-01 4.491466840256862214e-02
6.662654524581151927e-01 4.475903355190197913e-02
6.601449092734889001e-01 4.460062488950811144e-02
6.540805914998255588e-01 4.443949151875841580e-02
6.480719826311970300e-01 4.427568305573913870e-02
6.421185709064761715e-01 4.410924959731474249e-02
6.362198492657488158e-01 4.394024168920722395e-02
6.303753153071277593e-01 4.376871029412199993e-02
6.245844712439617696e-01 4.359470675995354150e-02
6.188468238624386109e-01 4.341828278810282854e-02
6.131618844795775347e-01 4.323949040193710708e-02
6.075291689016073526e-01 4.305838191542150917e-02
6.019481973827275345e-01 4.287500990195411421e-02
5.964184945842463392e-01 4.268942716343190197e-02
5.909395895340970872e-01 4.250168669957617162e-02
5.855110155867241373e-01 4.231184167754491882e-02
5.801323103833379013e-01 4.211994540185898250e-02
5.748030158125354561e-01 4.192605128466624087e-02
5.695226779712825316e-01 4.173021281637161878e-02
5.642908471262539916e-01 4.153248353665248138e-02
5.591070776755293625e-01 4.133291700588614254e-02
5.539709281106404148e-01 4.113156677701027691e-02
5.488819609789672427e-01 4.092848636783614352e-02
5.438397428464799566e-01 4.072372923383681814e-02
5.388438442608224355e-01 4.051734874142610271e-02
5.338938397147353632e-01 4.030939814175085040e-02
5.289893076098152180e-01 4.009993054500924498e-02
5.241298302206059967e-01 3.988899889531410253e-02
5.193149936590213400e-01 3.967665594611417823e-02
5.145443878390928427e-01 3.946295423618820936e-02
5.098176064420425480e-01 3.924794606622612064e-02
